Assembly ID	Repository	Group	Isolation_source	Completeness	Contamination	Genome_size_Mbp	GC	Classification_GTDB	Classification_16S
CNA0052639	CNGB	Sponge	Sponge (Phyllospongia foliascens)	83.81	1.44	3.652955	36.9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Endozoicomonadaceae;g__;s__	Bacteria;_Proteobacteria;_Gammaproteobacteria;_Oceanospirillales;_Endozoicomonadaceae;_Kistimonas
GCF_001562015.1	NCBI	Sponge	Sponge (Unkown)	99.14	2.05	6.453554	47.7	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Endozoicomonadaceae;g__Endozoicomonas;s__Endozoicomonas arenosclerae	Bacteria;_Proteobacteria;_Gammaproteobacteria;_Oceanospirillales;_Endozoicomonadaceae;_Endozoicomonas;_uncultured_Spongiobacter_sp.
GCF_000722635.1	NCBI	Sponge	Sponge (Haliclona sp)	99.14	1.66	6.342227	47	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Endozoicomonadaceae;g__Endozoicomonas;s__Endozoicomonas numazuensis	Bacteria;_Proteobacteria;_Gammaproteobacteria;_Oceanospirillales;_Endozoicomonadaceae;_Endozoicomonas
GCF_004762125.1	NCBI	Sponge	Sponge (Halichondria panicea)	99.14	1.7	5.490128	44.9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Endozoicomonadaceae;g__Endozoicomonas;s__Endozoicomonas sp004762125	Bacteria;_Proteobacteria;_Gammaproteobacteria;_Oceanospirillales;_Endozoicomonadaceae;_Endozoicomonas;_uncultured_bacterium_graftm_1117
GCA_002238585.1	NCBI	Sponge	Sponge (Aplysina aerophoba)	80.63	0	3.782451	57.3	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Endozoicomonadaceae;g__Kistimonas;s__Kistimonas sp002238585	Bacteria;_Proteobacteria;_Gammaproteobacteria;_Oceanospirillales;_Endozoicomonadaceae;_Endozoicomonas
GCF_002864045.1	NCBI	Non-Sponge	Coral	98.56	1.39	6.04885	49.2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Endozoicomonadaceae;g__Endozoicomonas;s__Endozoicomonas acroporae	Bacteria;_Proteobacteria;_Gammaproteobacteria;_Oceanospirillales;_Endozoicomonadaceae;_Endozoicomonas;_uncultured_bacterium_graftm_1117
GCF_001646945.1	NCBI	Non-Sponge	Ascidian	98.28	1.81	6.130497	46.7	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Endozoicomonadaceae;g__Endozoicomonas;s__Endozoicomonas ascidiicola	Bacteria;_Proteobacteria;_Gammaproteobacteria;_Oceanospirillales;_Endozoicomonadaceae;_Endozoicomonas;_uncultured_bacterium_graftm_1117
GCF_001647025.1	NCBI	Non-Sponge	Bivalve	98.92	3.43	6.687418	47.9	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Endozoicomonadaceae;g__Endozoicomonas;s__Endozoicomonas atrinae	Bacteria;_Proteobacteria;_Gammaproteobacteria;_Oceanospirillales;_Endozoicomonadaceae;_Endozoicomonas;_uncultured_bacterium_graftm_1117
GCF_000710775.1	NCBI	Non-Sponge	Sea_slug	98.98	3.43	5.606375	46.8	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Endozoicomonadaceae;g__Endozoicomonas;s__Endozoicomonas elysicola	Bacteria;_Proteobacteria;_Gammaproteobacteria;_Oceanospirillales;_Endozoicomonadaceae;_Endozoicomonas
GCF_001583435.1	NCBI	Non-Sponge	Coral	98.99	1.72	5.430256	48.5	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Endozoicomonadaceae;g__Endozoicomonas;s__Endozoicomonas montiporae	Bacteria;_Proteobacteria;_Gammaproteobacteria;_Oceanospirillales;_Endozoicomonadaceae;_Endozoicomonas
GCA_900299555.1	NCBI	Non-Sponge	Fish_bream	98.61	5.11	5.876352	46.8	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Endozoicomonadaceae;g__Endozoicomonas;s__Endozoicomonas sp900299555	Bacteria;_Proteobacteria;_Gammaproteobacteria;_Oceanospirillales;_Endozoicomonadaceae;_Endozoicomonas
GCA_002084115.1	NCBI	Non-Sponge	Bivalve	92.94	1.51	3.301303	52.1	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Endozoicomonadaceae;g__LUC14-002-19-P2;s__LUC14-002-19-P2 sp002084115	Bacteria;_Proteobacteria;_Gammaproteobacteria;_Oceanospirillales;_Endozoicomonadaceae;_Kistimonas
GCF_900174585.1	NCBI	Non-Sponge	Unknown	99.57	2.64	5.467208	51.5	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Endozoicomonadaceae;g__Parendozoicomonas;s__Parendozoicomonas haliclonae	Bacteria;_Proteobacteria;_Gammaproteobacteria;_Oceanospirillales;_Endozoicomonadaceae;_Endozoicomonas
GCF_004340525.1	NCBI	Outgroup	Unknown	99.52	1.32	3.910325	62.2	d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Halieaceae;g__Chromatocurvus;s__Chromatocurvus halotolerans	Bacteria;_Proteobacteria;_Gammaproteobacteria;_Cellvibrionales;_Halieaceae;_Chromatocurvus
