Assembly_ID	Repository	Group	Isolation_source	Completeness	Contamination	Genome_size_Mbp	GC	Classification_GTDB	Classification_16S
GCA_026710565.1	NCBI	Sponge	Sponge (Aplysina aerophoba)	96.93	3.73	6.2703	68.2	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Bin103;g__;s__	Bacteria;_Spirochaetes;_Spirochaetia;_Spirochaetales;_Spirochaetaceae;_Spirochaeta_2;_uncultured_bacterium_graftm_80
CNA0052603	CNGB	Sponge	Sponge (Ircinia ramosa)	95.33	2.53	5.604275	68.6	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Bin103;g__;s__	No_16S
GCA_028818385.1	NCBI	Sponge	Sponge (Rhopaloeides odorabile)	92.53	3.33	5.975327	68.3	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Bin103;g__;s__	No_16S
GCA_002238925.1	NCBI	Sponge	Sponge (Aplysina aerophoba)	94.8	1.33	4.776897	67.4	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Bin103;g__;s__	No_16S
CNA0052444	CNGB	Sponge	Sponge (Ircinia ramosa)	94.53	1.33	5.229259	67.6	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Bin103;g__Bin103;s__	Bacteria;_Spirochaetes;_Spirochaetia;_Spirochaetales;_Spirochaetaceae;_Spirochaeta_2;_uncultured_bacterium_graftm_80
CNA0052564	CNGB	Sponge	Sponge (Ircinia ramosa)	89.87	3.93	4.486424	67.4	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Bin103;g__Bin103;s__	Bacteria;_Spirochaetes;_Spirochaetia;_Spirochaetales;_Spirochaetaceae;_Spirochaeta_2;_uncultured_bacterium_graftm_80
GCA_028821475.1	NCBI	Sponge	Sponge (Rhopaloeides odorabile)	97.73	2.93	5.730673	67.4	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Bin103;g__Bin103;s__	Bacteria;_Spirochaetes;_Spirochaetia;_Spirochaetales;_Spirochaetaceae;_Spirochaeta_2;_uncultured_bacterium_graftm_80
CNA0052525	CNGB	Sponge	Sponge (Ircinia ramosa)	85.66	0.93	4.194815	67.5	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Bin103;g__Bin103;s__	No_16S
GCA_026712845.1	NCBI	Sponge	Sponge (Aplysina aerophoba)	98.13	1.33	4.837189	67.4	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Bin103;g__Bin103;s__Bin103 sp002238925	Bacteria;_Spirochaetes;_Spirochaetia;_Spirochaetales;_Spirochaetaceae;_Spirochaeta_2;_uncultured_bacterium_graftm_80
GCF_000373545.1	NCBI	Non-Sponge	Kenya_Lake_Magadi	98.4	3.2	3.358314	60.5	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Alkalispirochaetaceae;g__Alkalispirochaeta;s__Alkalispirochaeta alkalica	Bacteria;_Spirochaetes;_Spirochaetia;_Spirochaetales;_Spirochaetaceae;_Alkalispirochaeta
GCF_900156105.1	NCBI	Non-Sponge	Missing-type_strain_of_Alkalispirochaeta_americana	98.4	0	3.309052	57.5	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Alkalispirochaetaceae;g__Alkalispirochaeta;s__Alkalispirochaeta americana	Bacteria;_Spirochaetes;_Spirochaetia;_Spirochaetales;_Spirochaetaceae;_Alkalispirochaeta
GCA_002313505.1	NCBI	Non-Sponge	Saline_water	85.2	0.8	3.813472	64.5	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Alkalispirochaetaceae;g__Alkalispirochaeta;s__Alkalispirochaeta sp002313505	No_16S
GCA_007130865.1	NCBI	Non-Sponge	hypersaline_soda_lake_sediment	95.73	1.11	3.728401	60.1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Alkalispirochaetaceae;g__Alkalispirochaeta;s__Alkalispirochaeta sp007130865	No_16S
GCA_003552185.1	NCBI	Non-Sponge	hypersaline_soda_lake_sediment	94.77	3.47	3.485397	61.4	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Alkalispirochaetaceae;g__B1Sed10-166;s__B1Sed10-166 sp003552185	No_16S
GCA_003552985.1	NCBI	Non-Sponge	hypersaline_soda_lake_sediment	95.2	4.67	3.928934	60.7	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Alkalispirochaetaceae;g__B1Sed10-166;s__B1Sed10-166 sp003552985	No_16S
GCA_003556605.1	NCBI	Non-Sponge	hypersaline_soda_lake_sediment	100	4.4	3.876057	59.1	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Alkalispirochaetaceae;g__B1Sed10-166;s__B1Sed10-166 sp003556605	No_16S
GCA_007126415.1	NCBI	Non-Sponge	hypersaline_soda_lake_sediment	89.2	2.03	2.65342	61.2	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Alkalispirochaetaceae;g__B1Sed10-166;s__B1Sed10-166 sp007126415	No_16S
GCA_007130025.1	NCBI	Non-Sponge	hypersaline_soda_lake_sediment	90.8	4.03	3.153086	61.5	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Alkalispirochaetaceae;g__PWMO01;s__PWMO01 sp007130025	No_16S
GCA_007121695.1	NCBI	Non-Sponge	hypersaline_soda_lake_sediment	85.89	1.47	2.818256	57.8	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Alkalispirochaetaceae;g__SKKC01;s__SKKC01 sp007121695	No_16S
GCA_007128315.1	NCBI	Non-Sponge	hypersaline_soda_lake_sediment	98.21	2.8	3.306476	57	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Alkalispirochaetaceae;g__SKKC01;s__SKKC01 sp007128315	No_16S
GCA_003564775.1	NCBI	Non-Sponge	hypersaline_soda_lake_sediment	87.72	3.87	2.873866	55	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Alkalispirochaetaceae;g__SLAA01;s__SLAA01 sp003564775	No_16S
GCA_007127105.1	NCBI	Non-Sponge	hypersaline_soda_lake_sediment	97.2	3.6	3.080707	55.4	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Alkalispirochaetaceae;g__SLAA01;s__SLAA01 sp007127105	No_16S
GCA_007135605.1	NCBI	Non-Sponge	hypersaline_soda_lake_sediment	95.03	2.8	3.570634	60.9	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Alkalispirochaetaceae;g__SLAN01;s__SLAN01 sp007135605	No_16S
GCA_007118855.1	NCBI	Non-Sponge	hypersaline_soda_lake_sediment	96	2.8	3.896804	65	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Alkalispirochaetaceae;g__SLST01;s__SLST01 sp007118855	No_16S
GCA_007127335.1	NCBI	Non-Sponge	hypersaline_soda_lake_sediment	97.2	5.2	3.855064	64.3	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Alkalispirochaetaceae;g__SLST01;s__SLST01 sp007127335	No_16S
GCA_007130265.1	NCBI	Non-Sponge	hypersaline_soda_lake_sediment	89.12	4.4	4.469271	63.7	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Alkalispirochaetaceae;g__SLST01;s__SLST01 sp007130265	No_16S
