"Query_sequence_ID"	"Subject_sequence_ID"	"Percent_identity"	"Alignment_length"	"Number_of_mismatches"	"Number_of_gap_openings"	"Start_position_in_query_sequence"	"End_position_in_query_sequence"	"Start_position_in_subject_sequence"	"End_position_in_subject_sequence"	"E-value"	"Bit_score"	"Genome_ID"
"tauB"	"NODE_513_length_61362_cov_16.1427"	43.028	251	143	0	4	756	28709	29461	1.51e-69	263	"GCA_028824415.1"
"tauB"	"NODE_85_length_144186_cov_34.584"	46.083	217	117	0	28	678	128053	128703	1.5e-65	249	"GCA_026708015.1"
"tauB"	"NODE_15530_length_3563_cov_11.212942"	46.083	217	117	0	28	678	1827	2477	5.35e-65	248	"CNA0052371"
"tauB"	"NODE_1624_length_29987_cov_12.723039"	46.083	217	117	0	28	678	11847	12497	3.89e-65	248	"CNS0798324"
"tauB"	"NODE_431_length_64174_cov_26.9884"	46.083	217	117	0	28	678	19714	20364	3.89e-65	248	"GCA_026705625.1"
"tauB"	"c_000000046727"	45.622	217	118	0	28	678	978	1628	1.01e-64	247	"GCA_026710865.1"
"tauB"	"c_000000132667"	46.083	217	117	0	28	678	906	1556	1.01e-64	247	"GCA_026713745.1"
"tauB"	"NODE_1640_length_15787_cov_85.456712"	46.544	217	116	0	28	678	7991	8641	7.35e-65	247	"GCA_009843915.1"
"tauB"	"NODE_3193_length_8618_cov_75.142824"	46.544	217	116	0	28	678	7800	7150	7.35e-65	247	"GCA_009837475.1"
"tauB"	"NODE_4360_length_11244_cov_30.961659"	46.544	217	116	0	28	678	8364	7714	1.01e-64	247	"CNA0052614"
"tauB"	"NODE_1048_length_23859_cov_61.249790"	46.083	217	117	0	28	678	15815	15165	1.39e-64	246	"GCA_009837445.1"
"tauB"	"NODE_223_length_98045_cov_35.2742"	45.622	217	118	0	28	678	47826	47176	1.39e-64	246	"GCA_026705465.1"
"tauB"	"c_000000114060"	48.039	204	106	0	46	657	6821	6210	6.46e-68	245	"GCA_026713045.1"
